"Ctry_code"|"reg_code"|"reg_tl3"|"reg_tl3_label"
"US"|"US01001"|"US114"|"Montgomery-Alexander City - Al"
"US"|"US01003"|"US112"|"Mobile-Daphne-Fairhope - Al"
"US"|"US01005"|"US048"|"Dothan-Enterprise-Ozark - Al"
"US"|"US01007"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01009"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01011"|"US114"|"Montgomery-Alexander City - Al"
"US"|"US01013"|"US114"|"Montgomery-Alexander City - Al"
"US"|"US01015"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01017"|"US011"|"Atlanta-Sandy Springs-Gainesville - Ga-Al"
"US"|"US01019"|"US011"|"Atlanta-Sandy Springs-Gainesville - Ga-Al"
"US"|"US01021"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01023"|"US080"|"Jackson-Yazoo City - Ms"
"US"|"US01025"|"US112"|"Mobile-Daphne-Fairhope - Al"
"US"|"US01027"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01029"|"US011"|"Atlanta-Sandy Springs-Gainesville - Ga-Al"
"US"|"US01031"|"US048"|"Dothan-Enterprise-Ozark - Al"
"US"|"US01033"|"US076"|"Huntsville-Decatur - Al"
"US"|"US01035"|"US112"|"Mobile-Daphne-Fairhope - Al"
"US"|"US01037"|"US114"|"Montgomery-Alexander City - Al"
"US"|"US01039"|"US048"|"Dothan-Enterprise-Ozark - Al"
"US"|"US01041"|"US114"|"Montgomery-Alexander City - Al"
"US"|"US01043"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01045"|"US048"|"Dothan-Enterprise-Ozark - Al"
"US"|"US01047"|"US114"|"Montgomery-Alexander City - Al"
"US"|"US01049"|"US076"|"Huntsville-Decatur - Al"
"US"|"US01051"|"US114"|"Montgomery-Alexander City - Al"
"US"|"US01053"|"US112"|"Mobile-Daphne-Fairhope - Al"
"US"|"US01055"|"US076"|"Huntsville-Decatur - Al"
"US"|"US01057"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01059"|"US076"|"Huntsville-Decatur - Al"
"US"|"US01061"|"US048"|"Dothan-Enterprise-Ozark - Al"
"US"|"US01063"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01065"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01067"|"US048"|"Dothan-Enterprise-Ozark - Al"
"US"|"US01069"|"US048"|"Dothan-Enterprise-Ozark - Al"
"US"|"US01071"|"US076"|"Huntsville-Decatur - Al"
"US"|"US01073"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01075"|"US019"|"Birmingham-Hoover-Cullman - Al"
"US"|"US01077"|"US076"|"Huntsville-Decatur - Al"
"US"|"US01079"|"US076"|"Huntsville-Decatur - Al"
"US"|"US01081"|"US039"|"Columbus-Auburn-Opelika - Ga-Al"
"US"|"US01083"|"US076"|"Huntsville-Decatur - Al"
